Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00     24.96     0.00       14     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::_M_get_Tp_allocator() const
  0.00     24.96     0.00       14     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::max_size() const
  0.00     24.96     0.00       14     0.00     0.00  _ZNSt16allocator_traitsISaIP12MessageDef_sEE9constructIS1_IRKS1_EEEvRS2_PT_DpOT0_
  0.00     24.96     0.00       14     0.00     0.00  itti_free
  0.00     24.96     0.00       14     0.00     0.00  itti_get_task_name
  0.00     24.96     0.00       14     0.00     0.00  itti_malloc
  0.00     24.96     0.00       14     0.00     0.00  itti_send_msg_to_task
  0.00     24.96     0.00       14     0.00     0.00  itti_send_msg_to_task_locked
  0.00     24.96     0.00       13     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::__normal_iterator<MessageDef_s**>(__gnu_cxx::__normal_iterator<MessageDef_s**, __gnu_cxx::__enable_if<std::__are_same<MessageDef_s**, MessageDef_s**>::__value, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::__type> const&)
  0.00     24.96     0.00       13     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::insert(__gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >, MessageDef_s* const&)
  0.00     24.96     0.00       13     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_end()
  0.00     24.96     0.00       13     0.00     0.00  itti_alloc_new_message
  0.00     24.96     0.00       12     0.00     0.00  void __gnu_cxx::new_allocator<MessageDef_s*>::destroy<MessageDef_s*>(MessageDef_s**)
  0.00     24.96     0.00       12     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_ptr()
  0.00     24.96     0.00       12     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_addr()
  0.00     24.96     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::operator*() const
  0.00     24.96     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::operator-(long) const
  0.00     24.96     0.00       12     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr()
  0.00     24.96     0.00       12     0.00     0.00  void std::allocator_traits<std::allocator<MessageDef_s*> >::destroy<MessageDef_s*>(std::allocator<MessageDef_s*>&, MessageDef_s**)
  0.00     24.96     0.00       12     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::back()
  0.00     24.96     0.00       12     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::pop_back()
  0.00     24.96     0.00       10     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00     24.96     0.00       10     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_rightmost()
  0.00     24.96     0.00       10     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00     24.96     0.00       10     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00     24.96     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<MessageDef_s*>::deallocate(MessageDef_s**, unsigned long)
  0.00     24.96     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<MessageDef_s*>::allocate(unsigned long, void const*)
  0.00     24.96     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::difference_type __gnu_cxx::operator-<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >(__gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&, __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&)
  0.00     24.96     0.00        8     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::_M_allocate(unsigned long)
  0.00     24.96     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<MessageDef_s*> >::deallocate(std::allocator<MessageDef_s*>&, MessageDef_s**, unsigned long)
  0.00     24.96     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<MessageDef_s*> >::allocate(std::allocator<MessageDef_s*>&, unsigned long)
  0.00     24.96     0.00        8     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, double> >::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00     24.96     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::difference_type __gnu_cxx::operator-<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >(__gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&, __gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&)
  0.00     24.96     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::operator+(long) const
  0.00     24.96     0.00        7     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int const, double> >::operator!=(std::_Rb_tree_const_iterator<std::pair<int const, double> > const&) const
  0.00     24.96     0.00        7     0.00     0.00  std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > >::end() const
  0.00     24.96     0.00        7     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::_M_check_len(unsigned long, char const*) const
  0.00     24.96     0.00        7     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::cbegin() const
  0.00     24.96     0.00        7     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::end() const
  0.00     24.96     0.00        7     0.00     0.00  void std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::_M_insert_aux<MessageDef_s* const&>(__gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >, MessageDef_s* const&)
